gene	drug	regulatory approval	indication	interaction score
FGFR4	ORANTINIB	Not Approved	""	0.08593726879819068
FGFR4	PALIFERMIN	Approved	for treatment of antineoplasty-induced oral mucositis	0.2792961235941196
FGFR4	COMPOUND 34H [PMID: 27055065]	Not Approved	""	1.117184494376478
FGFR4	INFIGRATINIB	Approved	""	0.08275440699085028
FGFR4	FUTIBATINIB	Approved	""	0.101562226761498
FGFR4	EVEROLIMUS	Approved	immunosuppressant	0.06383911396437021
FGFR4	FLUOROURACIL	Approved	""	0.01877620998952065
FGFR4	BAY1217389	Not Approved	""	0.3723948314588262
FGFR4	BRIVANIB	Not Approved	""	0.2393966773663883
FGFR4	NMS-P715	Not Approved	""	0.5585922471882393
FGFR4	FGFR INHIBITOR ASP5878	Not Approved	""	1.117184494376478
FGFR4	TRAFERMIN	Not Approved	for treatment of diabetic foot ulcers,for treatment of periodontitis	0.2792961235941196
FGFR4	AZD-4547	Not Approved	""	0.1117184494376478
FGFR4	FGF401	Not Approved	""	1.117184494376478
FGFR4	FP-1039	Not Approved	antineoplastic agent	0.2792961235941196
FGFR4	FGF-6	Not Approved	""	2.234368988752957
FGFR4	LUVIXASERTIB	Not Approved	""	1.117184494376478
FGFR4	BRIVANIB ALANINATE	Not Approved	""	0.1595977849109255
FGFR4	DOVITINIB	Not Approved	antineoplastic agent	0.02212246523517779
FGFR4	AZ3146	Not Approved	""	1.117184494376478
FGFR4	RO3280	Not Approved	""	0.2234368988752957
FGFR4	MPI-0479605	Not Approved	""	0.3723948314588262
FGFR4	INFIGRATINIB PHOSPHATE	Approved	""	0.2792961235941196
FGFR4	EMPESERTIB	Not Approved	""	0.3723948314588262
FGFR4	METHOTREXATE	Approved	DMARD	0.01994972311386568
FGFR4	MPS1-IN-1	Not Approved	""	0.5585922471882393
FGFR4	ENMD-2076	Not Approved	antineoplastic agent	0.03603820949601544
FGFR4	GNE-7915	Not Approved	""	0.5585922471882393
FGFR4	ROGARATINIB	Not Approved	""	0.1595977849109255
FGFR4	FEXAGRATINIB	Not Approved	""	0.1396480617970598
FGFR4	HESPERADIN	Not Approved	""	0.02792961235941197
FGFR4	IONIS-FGFR4RX	Not Approved	""	1.117184494376478
FGFR4	COMPOUND 20 [PMID: 30998356]	Not Approved	""	0.1241316104862754
FGFR4	FGFR4 ANTAGONIST INCB062079	Not Approved	""	1.117184494376478
FGFR4	XL-999	Not Approved	""	0.101562226761498
FGFR4	COMPOUND 27F [PMID: 25625617]	Not Approved	""	1.117184494376478
FGFR4	ALDAFERMIN	Not Approved	""	0.3723948314588262
FGFR4	DERAZANTINIB	Not Approved	antineoplastic agent	0.1396480617970598
FGFR4	BOS172722	Not Approved	""	0.1861974157294131
FGFR4	CYCLOPHOSPHAMIDE ANHYDROUS	Approved	""	0.02724840230186533
FGFR4	ERLOTINIB	Approved	antineoplastic agent	0.01893533041316065
FGFR4	NINTEDANIB ESYLATE	Approved	antineoplastic agent	0.0893747595501183
FGFR4	ENMD-981693	Not Approved	""	0.05879918391455151
FGFR4	PONATINIB	Approved	antineoplastic agent	0.04468737977505915
FGFR4	LY-2874455	Not Approved	""	0.2792961235941196
FGFR4	ERDAFITINIB	Approved	""	0.09309870786470655
FGFR4	CP-459632	Not Approved	""	0.1396480617970598
IL23A	USTEKINUMAB	Approved	DMARD,antiinflammatory agent,Antipsoriatic Agents	1.640864726115453
IL23A	GUSELKUMAB	Approved	""	3.281729452230906
IL23A	EBDAROKIMAB	Not Approved	""	2.187819634820604
IL23A	BRAZIKUMAB	Not Approved	""	3.281729452230906
IL23A	RISANKIZUMAB	Approved	""	3.281729452230906
IL23A	TILDRAKIZUMAB	Approved	""	2.187819634820604
IL23A	BRIAKINUMAB	Not Approved	antipsoriatic,for treatment of multiple sclerosis,antiinflammatory agent	4.375639269641208
IL23A	MIRIKIZUMAB	Approved	""	2.187819634820604
TNFRSF13C	BAFF	Not Approved	""	5.834185692854944
TNFRSF13C	IANALUMAB	Not Approved	""	35.00511415712966
TNFRSF13C	IANALUMAB	Not Approved	""	17.50255707856483
LAMA3	OCRIPLASMIN	Approved	""	1.38178082199196
CCND2	PALBOCICLIB	Approved	""	0.4286340509036285
CCND2	ABEMACICLIB	Approved	""	0.5527123287967842
CCND2	RIBOCICLIB	Approved	antineoplastic agent	0.5834185692854945
CCND2	DECITABINE	Approved	antineoplastic agent	0.840122739771112
CCND2	RONICICLIB	Not Approved	""	0.3750547945406749
TLR4	NELFINAVIR	Approved	""	0.760980742546297
TLR4	ADJUVANT	Not Approved	""	0.3043922970185188
TLR4	ERITORAN	Not Approved	for treatment of sepsis	4.565884455277782
TLR4	INFLIXIMAB-DYYB	Approved	DMARD,antiinflammatory agent	0.1472865953315413
TLR4	RITONAVIR	Approved	""	0.1691068316769549
TLR4	RECOMBINANT 70-KD HEAT-SHOCK PROTEIN	Not Approved	""	0.4565884455277783
TLR4	GSK1795091	Not Approved	""	4.565884455277782
TLR4	TLR AGONIST CADI-05	Not Approved	""	1.521961485092594
TLR4	NEOCEPTIN-3	Not Approved	""	1.141471113819445
TLR4	ERITORAN TETRASODIUM	Not Approved	""	1.141471113819445
TLR4	DEFOSLIMOD	Not Approved	""	1.141471113819445
TLR4	METHOTREXATE	Approved	DMARD	0.06115023824032745
TLR4	RESATORVID	Not Approved	""	4.565884455277782
TLR4	RESATORVID	Not Approved	for treatment of sepsis	4.565884455277782
TLR4	FOLIC ACID	Approved	""	0.1902451856365742
TLR4	PERTUSSIS VACCINE	Not Approved	""	6.848826682916673
TLR4	DEHYDRATED ALCOHOL	Approved	""	0.0577960057630099
TLR4	G100	Not Approved	""	2.282942227638891
TLR4	PARIDIPRUBART	Not Approved	""	2.282942227638891
TLR4	ACETAMINOPHEN	Approved	analgesic	0.08780547029380352
TLR4	SAQUINAVIR	Approved	""	0.5073204950308647
TLR4	CRX-555	Not Approved	""	2.282942227638891
TLR4	LPS	Not Approved	""	2.282942227638891
IL18R1	IBOCTADEKIN	Not Approved	""	17.50255707856483
IL2RA	INOLIMOMAB	Not Approved	""	2.059124362184098
IL2RA	HUMAN THYMOSIN-FRACTION 5	Not Approved	""	1.029562181092049
IL2RA	ALDESLEUKIN	Not Approved	antineoplastic agent	0.3431873936973496
IL2RA	BASILIXIMAB	Approved	immunomodulatory agent	1.715936968486748
IL2RA	ANTITUBERCULAR AGENT	Not Approved	""	1.029562181092049
IL2RA	SHO-SAIKO-TO	Not Approved	""	0.5147810905460245
IL2RA	VERAPAMIL	Approved	antihypertensive agent	0.04575831915964662
IL2RA	IL-2/9/15 GAMMA CHAIN RECEPTOR INHIBITOR BNZ-1	Not Approved	""	0.2573905452730122
IL2RA	ALDESLEUKIN	Approved	antineoplastic agent	0.1715936968486748
IL2RA	DINITROCHLOROBENZENE	Not Approved	""	0.6863747873946993
IL2RA	LMB-2	Not Approved	""	2.059124362184098
IL2RA	METHYLPREDNISOLONE	Approved	Anti-Inflammatory Agents; Glucocorticoids	0.1143957978991165
IL2RA	ANTISERUM	Not Approved	""	0.05883212463383137
IL2RA	DHA-PACLITAXEL	Not Approved	""	2.059124362184098
IL2RA	MEGESTROL ACETATE	Approved	Hormonal; Contraceptives,Antineoplastic Agents	0.2287915957982331
IL2RA	DACLIZUMAB	Approved	immunosuppressant	1.029562181092049
IL2RA	THERAPEUTIC HORMONE	Not Approved	""	0.0467982809587295
IL2RA	RECOMBINANT INTERLEUKIN-2	Not Approved	antineoplastic agent	0.3431873936973496
IL2RA	CAMIDANLUMAB TESIRINE	Not Approved	""	1.029562181092049
IL2RA	MONOCLONAL ANTIBODY R24	Not Approved	""	2.059124362184098
IL2RA	METHIMAZOLE	Approved	Antithyroid Agents	0.1961070821127712
IL2RA	CHINESE HERBS	Not Approved	""	0.5147810905460245
IL2RA	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.01906596631651942
IL2RA	BECLOMETHASONE DIPROPIONATE	Approved	glucocorticoid,antiinflammatory agent	0.2059124362184098
IL2RA	DEXTRAN SULFATE	Not Approved	""	0.3431873936973496
IL2RA	BRYOSTATIN	Not Approved	for treatment of alzheimer's disease	0.1715936968486748
IL2RA	CAFFEINE	Approved	Central Nervous System Stimulants	0.0556520097887594
IL2RA	STAUROSPORINE	Not Approved	""	0.0735401557922892
IL2RA	INTERFERON BETA-1B	Approved	for treatment of multiple sclerosis	0.2059124362184098
IL2RA	HUMAN CHORIONIC GONADOTROPIN	Approved	""	0.108374966430742
IL2RA	CETIRIZINE HYDROCHLORIDE	Approved	antiallergy agent	0.2941606231691568
IL2RA	THYROXINE	Not Approved	""	0.1715936968486748
IL2RA	DIDANOSINE	Approved	""	0.1470803115845784
IL2RA	HEPATITIS B VACCINE	Not Approved	""	1.029562181092049
IL2RA	MERCAPTOPURINE	Approved	Antineoplastic Agents	0.04575831915964662
IL2RA	PROGESTERONE	Approved	for reducing the risk of pre-term birth for women with short cervix a mid-pregnancy,for prevention of preterm delivery,for symptomatic treatment of menopausal symptoms,neuroprotectant for stroke victims	0.03490041291837454
IL2RA	INTERLEUKIN-2 GENE	Not Approved	""	2.059124362184098
IL2RA	CLADRIBINE	Approved	""	0.1372749574789398
IL2RA	ANTI-TAC 90 Y-HAT	Not Approved	""	1.029562181092049
IL2RA	ISOTRETINOIN	Approved	for treatment of acne	0.1286952726365061
IL2RA	LENTINAN	Not Approved	""	2.059124362184098
IL2RA	PROPYLTHIOURACIL	Approved	Antithyroid Agents	0.1029562181092049
IL2RA	FLUOROURACIL	Approved	""	0.01730356606877393
IL2RA	THEOPHYLLINE	Approved	bronchodilator	0.0762638652660777
IL2RA	ATORVASTATIN CALCIUM TRIHYDRATE	Approved	anticholesterolaemic agent,antihypecholesterolemic agent	0.0374386247669836
IL2RA	FARNESYLTRANSFERASE/GERANYLGERANYLTRANSFERASE INHIBITOR L-778,123	Not Approved	""	2.059124362184098
IL2RA	DENILEUKIN DIFTITOX	Approved	antineoplastic agent	0.8579684842433742
IL2RA	FLUTAMIDE	Approved	Hormonal,Antineoplastic Agents	0.1029562181092049
IL2RA	GARLIC	Not Approved	""	0.2059124362184098
IL2RA	DRUGSATFDA.NDA:008378	Not Approved	""	0.2287915957982331
IL2RA	DECITABINE	Approved	antineoplastic agent	0.08236497448736392
IL2RB	PEGENZILEUKIN	Not Approved	""	2.01952581675748
IL2RB	RECOMBINANT INTERLEUKIN-2	Not Approved	antineoplastic agent	1.346350544504987
IL2RB	DACLIZUMAB	Approved	immunosuppressant	1.00976290837874
IL2RB	DENILEUKIN DIFTITOX	Approved	antineoplastic agent	1.346350544504987
IL2RB	HUMIK-BETA-1	Not Approved	""	4.039051633514961
IL2RB	ALDESLEUKIN	Approved	antineoplastic agent	0.4039051633514962
IL2RB	SIMLUKAFUSP ALFA	Not Approved	""	1.346350544504987
IL2RB	BASILIXIMAB	Approved	immunomodulatory agent	1.346350544504987
IL2RB	ALDESLEUKIN	Not Approved	antineoplastic agent	1.346350544504987
IL2RB	MIK-BETA-1	Not Approved	""	4.039051633514961
IL2RB	RECOMBINANT HUMAN INTERLEUKIN-15	Not Approved	""	1.346350544504987
IL2RB	BEMPEGALDESLEUKIN	Not Approved	""	4.039051633514961
IL2RB	LEUKOCYTE INTERLEUKIN	Not Approved	""	4.039051633514961
EREG	CETUXIMAB	Approved	antineoplastic agent	0.2430910705356227
EREG	HUMAN CHORIONIC GONADOTROPIN	Approved	""	0.921187214661307
EREG	E6201	Not Approved	""	1.250182648468916
EREG	FEPIXNEBART	Not Approved	""	4.375639269641208
EREG	FEPIXNEBART	Not Approved	""	4.375639269641208
EREG	PANITUMUMAB	Approved	antineoplastic agent	0.4375639269641209
IL1RL1	ASTEGOLIMAB	Not Approved	""	17.50255707856483
CSF2	GIMSILUMAB	Not Approved	""	1.400204566285186
CSF2	DIAZIQUONE	Not Approved	""	0.7001022831425933
CSF2	TALIMOGENE LAHERPAREPVEC	Approved	antineoplastic agent	0.3500511415712966
CSF2	PROTEASOME INHIBITOR	Not Approved	""	0.07001022831425933
CSF2	HORSE ANTI-MOUSE ANTI-LYMPHOCYTE SERUM	Not Approved	""	1.400204566285186
CSF2	LACTULOSE	Approved	""	0.3500511415712966
CSF2	METHIMAZOLE	Approved	Antithyroid Agents	0.1000146118775133
CSF2	PEXASTIMOGENE DEVACIREPVEC	Not Approved	""	1.400204566285186
CSF2	IDARUBICIN	Approved	Antineoplastic Agents	0.02917092846427471
CSF2	OTILIMAB	Not Approved	DMARD,antiinflammatory agent	2.10030684942778
CSF2	TERFENADINE	Approved	Anti-Allergic Agents	0.07778914257139927
CSF2	MILTEFOSINE	Approved	""	0.2333674277141977
CSF2	PERFOSFAMIDE	Not Approved	""	0.2333674277141977
CSF2	CETIRIZINE HYDROCHLORIDE	Approved	antiallergy agent	0.2000292237550266
CSF2	TETANUS TOXOID	Not Approved	""	0.4667348554283955
CSF2	MULTIDRUG RESISTANCE MODULATOR	Not Approved	""	0.7001022831425933
CSF2	STREPTOZOCIN	Approved	""	0.03043922970185188
CSF2	STAUROSPORINE	Not Approved	""	0.05000730593875666
CSF2	NAMILUMAB	Not Approved	DMARD,antiinflammatory agent	2.10030684942778
CSF2	FLUTICASONE	Approved	glucocorticoid,antiinflammatory agent,for treatment of symptomatic exophthalmos associated with thyroid-related eye disease,bronchodilator	0.07369497717290456
CSF2	AMIKACIN	Approved	""	0.30004383563254
CSF2	RECOMBINANT OX40 LIGAND	Not Approved	""	0.7001022831425933
CSF2	MITOFLAXONE	Not Approved	""	0.7001022831425933
CSF2	THERAPEUTIC HORMONE	Not Approved	""	0.03182283105193606
CSF2	MPA	Not Approved	""	0.1400204566285186
CSF2	CYTARABINE	Approved	antineoplastic agent	0.02592971419046642
CSF2	RECOMBINANT INTERLEUKIN-1	Not Approved	antineoplastic agent	0.07778914257139927
CSF2	LENZILUMAB	Not Approved	""	1.400204566285186
CSF2	TICARCILLIN	Not Approved	""	0.7001022831425933
CSF2	TRIVALENT INFLUENZA VACCINE	Not Approved	""	1.400204566285186
CSF2	VINBLASTINE	Approved	Antineoplastic Agents	0.04118248724368196
CSF2	CRETOSTIMOGENE GRENADENOREPVEC	Not Approved	""	0.7001022831425933
CSF2	ETANERCEPT-SZZS	Approved	DMARD,antiinflammatory agent	0.05385402178019949
CSF2	GM-CSF-ENCODING ONCOLYTIC ADENOVIRUS CGTG-102	Not Approved	""	0.7001022831425933
CSF2	RECOMBINANT TYROSINASE-RELATED PROTEIN-2	Not Approved	""	1.400204566285186
CSF2	ACLARUBICIN	Not Approved	""	0.4667348554283955
CSF2	BCG VACCINE	Not Approved	""	1.400204566285186
CSF2	OMEPRAZOLE	Approved	Proton pump inhibitor,antiulcer agent	0.03784336665635639
CSF2	TRIFLUOPERAZINE	Approved	Antiemetics; Antipsychotic Agents	0.04667348554283956
CSF2	IMMUNOTOXIN	Not Approved	""	0.1750255707856483
CSF2	DITIOCARB	Not Approved	""	0.3500511415712966
CSF2	EPIGALLOCATECHIN GALLATE	Approved	""	0.1235474617310459
CSF2	ISOPROTERENOL	Approved	Bronchodilator Agents; Cardiotonic Agents	0.04375639269641208
CSF2	CABIRALIZUMAB	Not Approved	""	0.3500511415712966
CSF2	LENZILUMAB	Not Approved	""	0.7001022831425933
CSF2	INTERFERON ALFA-2B	Approved	Antineoplastic Agents; Immunomodulatory Agents,for treatment of hepatitis B and C,for treatment of hepatitis,for treatment of hepatitis C	0.1000146118775133
CSF2	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2	Not Approved	""	0.2800409132570373
CSF2	INSULIN, REGULAR, HUMAN	Approved	for treatment of diabetic foot ulcers,antidiabetic	0.02641895408085257
CSF2	INTERLEUKIN-11	Approved	thrombopoietic	0.1400204566285186
CSF2	VINORELBINE	Approved	antineoplastic agent	0.05385402178019949
CSF2	PROCARBAZINE	Approved	""	0.2800409132570373
CSF2	GP100 ANTIGEN	Not Approved	""	0.4667348554283955
CSF2	GM-CSF	Not Approved	vaccine,antineoplastic agent	0.04375639269641208
CSF2	PLONMARLIMAB	Not Approved	""	0.7001022831425933
CSF2	CILOSTAZOL	Approved	Platelet Aggregation Inhibitors	0.1000146118775133
CSF2	STAVUDINE	Approved	""	0.1077080435603989
CSF2	MAVRILIMUMAB	Not Approved	DMARD,antiinflammatory agent	0.2333674277141977
CSF2	DEHYDRATED ALCOHOL	Approved	""	0.0177241084339897
CSF2	BECLOMETHASONE DIPROPIONATE	Approved	glucocorticoid,antiinflammatory agent	0.1400204566285186
CSF2	MELANOMA VACCINE	Not Approved	""	0.3500511415712966
CSF2	KB002	Not Approved	antiasthmatic agent,DMARD,antiinflammatory agent	0.7001022831425933
CSF2	FAMCICLOVIR	Approved	""	1.400204566285186
CSF2	INDINAVIR	Approved	""	0.1400204566285186
CSF2	MART-1 ANTIGEN	Not Approved	""	0.7001022831425933
CSF2	TEMOZOLOMIDE	Approved	""	0.105015342471389
CSF2	MASOPROCOL	Approved	""	0.03043922970185188
CSF2	MONOMETHYL FUMARATE	Approved	""	0.420061369885556
CSF2	GEMOGENOVATUCEL-T	Not Approved	""	0.3500511415712966
CSF2	INTERLEUKIN-12 GENE	Not Approved	""	0.7001022831425933
CSF2	PLATINUM	Not Approved	""	0.07001022831425933
CSF2	IL-3	Not Approved	""	0.2333674277141977
CSF2	VACCINE	Not Approved	""	0.1272913242077442
CSF2	ROQUINIMEX	Not Approved	""	0.7001022831425933
CSF2	MECHLORETHAMINE	Approved	""	0.1272913242077442
CSF2	SODIUM SALICYLATE	Approved	""	0.3500511415712966
INSR	INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN	Approved	""	0.75010958908135
INSR	LINIFANIB	Not Approved	antineoplastic agent	0.009376369863516875
INSR	INSULIN GLULISINE, HUMAN	Approved	antidiabetic	1.5002191781627
INSR	INSULIN ASPART PROTAMINE RECOMBINANT	Approved	""	0.75010958908135
INSR	INSULIN ZINC SUSP BEEF	Approved	""	0.75010958908135
INSR	INSULIN, REGULAR, PORK	Approved	""	1.5002191781627
INSR	INSULIN, ISOPHANE	Approved	""	0.75010958908135
INSR	GW441756X	Not Approved	""	0.01154014752432846
INSR	INSULIN ZINC SUSP PROMPT PURIFIED PORK	Approved	""	0.75010958908135
INSR	INSULIN ZINC SUSP EXTENDED PURIFIED BEEF	Approved	""	0.75010958908135
INSR	INSULIN GLARGINE-YFGN	Approved	antidiabetic	1.5002191781627
INSR	INSULIN, REGULAR, HUMAN	Approved	for treatment of diabetic foot ulcers,antidiabetic	0.04245903334422735
INSR	INSULIN DEGLUDEC	Approved	""	0.375054794540675
INSR	TOZASERTIB	Not Approved	antineoplastic agent	0.01027547382303219
INSR	TAMATINIB	Not Approved	""	0.009260612210880863
INSR	INSULIN SUSP ISOPHANE PURIFIED PORK	Approved	""	0.75010958908135
INSR	INSULIN DETEMIR	Approved	antidiabetic	1.5002191781627
INSR	INSULIN SUSP PROTAMINE ZINC PURIFIED PORK	Approved	""	0.75010958908135
INSR	DOVITINIB	Not Approved	antineoplastic agent	0.007426827614666831
INSR	INSULIN HUMAN, ISOPHANE	Not Approved	""	0.75010958908135
INSR	CYC-116	Not Approved	""	0.007733088547230413
INSR	METFORMIN GLYCINATE	Not Approved	""	1.5002191781627
INSR	INSULIN [INJECTION], BIPHASIC	Approved	""	0.75010958908135
INSR	INSULIN PURIFIED BEEF	Approved	""	0.75010958908135
INSR	INSULIN ZINC, PROMPT	Approved	""	0.75010958908135
INSR	METHAZOLAMIDE	Not Approved	""	0.75010958908135
INSR	SP-600125	Not Approved	""	0.008428197630127528
INSR	INSULIN SUSP ISOPHANE BEEF/PORK	Approved	""	0.75010958908135
INSR	INSULIN SUSP ISOPHANE RECOMBINANT HUMAN	Approved	""	0.375054794540675
INSR	INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF	Approved	""	0.75010958908135
INSR	INSULIN ZINC, EXTENDED	Approved	""	0.75010958908135
INSR	AGT-182	Not Approved	""	0.75010958908135
INSR	INSULIN PEGLISPRO	Not Approved	""	0.75010958908135
INSR	INSULIN PURIFIED PORK	Approved	""	0.75010958908135
INSR	INSULIN LISPRO PROTAMINE RECOMBINANT	Approved	""	0.75010958908135
INSR	INSULIN ZINC SUSP PURIFIED BEEF/PORK	Approved	""	0.75010958908135
INSR	INSULIN, PROTAMINE ZINC	Approved	""	0.75010958908135
INSR	INSULIN LISPRO-AABC	Approved	""	0.75010958908135
INSR	RG-1530	Not Approved	""	0.007979889245546276
INSR	GO-6976	Not Approved	""	0.01744440904840348
INSR	HESPERADIN	Not Approved	""	0.01875273972703375
INSR	BMS-754807	Not Approved	antineoplastic agent	0.08334550989792779
INSR	INSULIN ASPART PROTAMINE, HUMAN	Approved	antidiabetic	1.5002191781627
INSR	ILORASERTIB	Not Approved	""	0.006466461974839224
INSR	INSULIN SUSP ISOPHANE PURIFIED BEEF	Approved	""	0.75010958908135
INSR	INSULIN ZINC SUSP PURIFIED PORK	Approved	""	0.75010958908135
INSR	INSULIN ZINC SUSP PROMPT BEEF	Approved	""	0.75010958908135
INSR	INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN	Approved	""	0.75010958908135
INSR	INSULIN SENSITIZER S-707106	Not Approved	""	0.75010958908135
INSR	MITOGLITAZONE	Not Approved	antidiabetic	0.2500365296937833
INSR	EPIRUBICIN	Approved	Antineoplastic Agents	0.04167275494896389
INSR	PF-562271	Not Approved	""	0.006945459158160648
INSR	RECOMBINANT HUMAN KALLIKREIN-1	Not Approved	""	0.75010958908135
INSR	KW-2450	Not Approved	""	0.375054794540675
INSR	INSULIN ZINC SUSP RECOMBINANT HUMAN	Approved	""	0.375054794540675
INSR	INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN	Approved	""	0.75010958908135
INSR	CYCLOPHOSPHAMIDE ANHYDROUS	Approved	""	0.01829535583125243
INSR	TESOFENSINE	Not Approved	antiobesity agent	0.1875273972703375
INSR	INSULIN ZINC SUSP PURIFIED BEEF	Approved	""	0.75010958908135
INSR	INSULIN SUSP ISOPHANE BEEF	Approved	""	0.75010958908135
INSR	INSULIN TREGOPIL	Not Approved	""	0.75010958908135
INSR	FLUOROURACIL	Approved	""	0.01260688385010672
INSR	INSULIN ZINC SUSP EXTENDED BEEF	Approved	""	0.75010958908135
INSR	NVP-TAE684	Not Approved	""	0.007282617369721844
INSR	INSULIN SUSP PROTAMINE ZINC BEEF/PORK	Approved	""	0.375054794540675
INSR	AEW-541	Not Approved	""	0.375054794540675
INSR	TOPIRAMATE	Approved	Anticonvulsants; anti-migraine agents,antimigraine agent,anticonvulsant	0.03409589041278863
INSR	LINSITINIB	Not Approved	antineoplastic agent	0.1071585127259071
INSR	CERITINIB	Approved	""	0.08334550989792779
INSR	CENISERTIB	Not Approved	antineoplastic agent	0.00635686092441822
CSH1	MARIJUANA	Not Approved	""	26.25383561784724
TNFSF13	ATACICEPT	Not Approved	DMARD,antiinflammatory agent	39.38075342677087
TNFSF13	SIBEPRENLIMAB	Not Approved	""	26.25383561784724
IL3RA	ANTI-CD123/CD3 BISPECIFIC ANTIBODY JNJ-63709178	Not Approved	""	5.250767123569449
IL3RA	FLOTETUZUMAB	Not Approved	""	2.625383561784724
IL3RA	CSL-360	Not Approved	""	5.250767123569449
IL3RA	ALLOGENEIC CD123-SPECIFIC UNIVERSAL CAR123-EXPRESSING T-LYMPHOCYTES	Not Approved	""	5.250767123569449
IL3RA	IL-3	Not Approved	""	1.166837138570989
IL3RA	AUTOLOGOUS CD123CAR-CD28-CD3ZETA-EGFRT-EXPRESSING T LYMPHOCYTES MB-102	Not Approved	""	5.250767123569449
IL3RA	TALACOTUZUMAB	Not Approved	""	10.50153424713889
IL3RA	ANTI-CD123 CAR T CELLS PREPARATION	Not Approved	""	5.250767123569449
IL3RA	EPOETIN ALFA	Approved	for treatment of anemia,Antianemic Agents,for treatment of stroke,erythropoietic agent	0.3088686543276147
IL3RA	TAGRAXOFUSP-ERZS	Approved	""	3.500511415712966
MPL	AVATROMBOPAG MALEATE	Approved	""	4.773424657790408
MPL	ROMIPLOSTIM	Approved	for treatment of thrombocytopenia	2.983390411119005
MPL	RAFUTROMBOPAG	Not Approved	""	4.773424657790408
MPL	ELTROMBOPAG	Approved	thrombopoietic	2.983390411119005
MPL	SB-559448	Not Approved	thrombopoietic agent	4.773424657790408
MPL	TOTROMBOPAG	Not Approved	thrombopoietic agent	9.546849315580817
MPL	HETROMBOPAG	Not Approved	""	4.773424657790408
MPL	AVATROMBOPAG	Approved	""	2.045753424767318
MPL	LUSUTROMBOPAG	Approved	""	3.182283105193605
MPL	HETROMBOPAG OLAMINE	Not Approved	""	4.773424657790408
MPL	THROMBOPOIETIN	Not Approved	""	4.773424657790408
SYK	R-348	Not Approved	""	0.75010958908135
SYK	ENTRECTINIB	Approved	""	0.02631963470460877
SYK	NVP-TAE684	Not Approved	""	0.01456523473944368
SYK	R-333	Not Approved	""	0.75010958908135
SYK	CHEMBL:CHEMBL379975	Not Approved	""	0.03409589041278863
SYK	SOVLEPLENIB	Not Approved	""	0.75010958908135
SYK	PRT-2607	Not Approved	""	1.5002191781627
SYK	ENTOSPLETINIB	Not Approved	""	0.75010958908135
SYK	CEDIRANIB	Not Approved	antineoplastic agent	0.02727671233023091
SYK	CERDULATINIB	Not Approved	""	0.2500365296937833
SYK	ERLOTINIB	Approved	antineoplastic agent	0.02542744369767288
SYK	FOSTAMATINIB	Approved	DMARD,antiinflammatory agent	3.0004383563254
SYK	R-112	Not Approved	""	1.5002191781627
SYK	CYC-116	Not Approved	""	0.01546617709446082
SYK	GW441756X	Not Approved	""	0.02308029504865692
SYK	TAMATINIB	Not Approved	""	0.05556367326528518
SYK	MIVAVOTINIB CITRATE	Not Approved	""	3.0004383563254
SYK	DASATINIB ANHYDROUS	Approved	antineoplastic agent	0.01948336595016493
SYK	FOSTAMATINIB DISODIUM	Approved	""	3.0004383563254
SYK	LANRAPLENIB	Not Approved	""	3.0004383563254
SYK	SP-600125	Not Approved	""	0.01685639526025505
SYK	P505-15	Not Approved	antiinflammatory agent	0.75010958908135
SYK	IMATINIB	Approved	antineoplastic agent	0.02000292237550266
SYK	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.01389091831632129
SYK	PD-0166285	Not Approved	""	0.02885036881082115
SYK	ADAVOSERTIB	Not Approved	antineoplastic agent	0.05357925636295356
SYK	RG-1530	Not Approved	""	0.01595977849109255
SYK	TAMATINIB	Not Approved	""	0.5000730593875666
SYK	R-343	Not Approved	""	1.5002191781627
SYK	CEVIDOPLENIB DIMESYLATE	Not Approved	""	1.5002191781627
SYK	GSK2646264	Not Approved	""	0.1666910197958555
SYK	CHEMBL:CHEMBL535331	Not Approved	""	0.1666910197958555
SYK	ILORASERTIB	Not Approved	""	0.01293292394967844
SYK	GUSACITINIB	Not Approved	""	0.30004383563254
SYK	CENISERTIB	Not Approved	antineoplastic agent	0.01271372184883644
IL31	VIXARELIMAB	Not Approved	""	52.50767123569449
TNFRSF17	CILTACABTAGENE AUTOLEUCEL	Not Approved	""	2.763561643983921
TNFRSF17	LINOLEIC ACID	Not Approved	""	0.3947945205691315
TNFRSF17	ANTI-BCMA CAR T CELLS PREPARATION	Not Approved	""	2.763561643983921
TNFRSF17	KITE-585	Not Approved	""	2.763561643983921
TNFRSF17	AUTOLOGOUS BCMA/TACI-TARGETED CAR T CELLS AUTO2	Not Approved	""	1.38178082199196
TNFRSF17	IDECABTAGENE VICLEUCEL	Approved	""	2.763561643983921
TNFRSF17	ELRANATAMAB	Approved	""	0.6908904109959803
